date,open,high,low,close,volume
2023-06-02,1493.67,1521.82,1484.78,1519.27,25058
2023-06-05,1514.83,1531.55,1511.67,1513.67,16201
2023-06-06,1518.67,1532.67,1500.22,1515.66,19914
2023-06-07,1521.66,1527.47,1498.67,1499.57,17890
2023-06-08,1504.5,1523.67,1498.68,1516.67,14703
2023-06-09,1520.66,1526.64,1514.67,1514.67,17580
2023-06-12,1514.69,1556.67,1510.19,1544.67,27029
2023-06-13,1542.55,1553.28,1533.67,1547.67,14663
2023-06-14,1567.67,1582.91,1554.88,1575.55,31506
2023-06-15,1579.01,1604.32,1571.67,1603.67,25223
2023-06-16,1605.67,1648.67,1598.77,1646.36,37918
2023-06-19,1638.67,1646.62,1586.67,1592.67,31700
2023-06-20,1588.67,1613.67,1583.67,1592.13,20947
2023-06-21,1588.67,1605.27,1583.67,1584.5,17721
2023-06-26,1568.78,1578.67,1543.67,1557.67,23993
2023-06-27,1558.66,1568.37,1548.76,1559.72,15174
2023-06-28,1561.85,1582.67,1559.67,1577.05,18574
2023-06-29,1579.67,1583.66,1561.68,1562.38,14231
2023-06-30,1574.58,1583.57,1561.06,1565.58,20459
2023-07-03,1573.58,1599.86,1566.58,1598.68,19139
2023-07-04,1598.78,1609.02,1592.66,1605.18,12472
2023-07-05,1604.58,1606.55,1574.58,1589.96,14745
2023-07-06,1583.74,1607.58,1574.58,1577.56,15141
2023-07-07,1575.58,1583.57,1564.58,1564.61,15167
2023-07-10,1579.58,1589.54,1574.58,1575.48,13477
2023-07-11,1584.58,1589.75,1576.68,1584.58,12583
2023-07-12,1587.62,1597.58,1585.91,1588.38,13285
2023-07-13,1596.57,1619.99,1593.59,1612.98,25807
2023-07-14,1630.58,1633.08,1615.78,1627.58,18550
2023-07-17,1625.58,1625.58,1601.18,1604.55,14336
2023-07-18,1608.16,1609.09,1595.58,1597.38,14738
2023-07-19,1589.59,1602.58,1588.38,1597.58,12483
2023-07-20,1602.57,1623.56,1596.58,1598.58,16693
2023-07-21,1606.46,1647.08,1600.58,1645.88,39377
2023-07-24,1625.1,1645.73,1625.1,1645.73,19713
2023-07-25,1674.58,1703.46,1674.57,1703.13,43086
2023-07-26,1703.13,1710.57,1689.66,1703.13,19611
2023-07-27,1710.58,1729.37,1703.28,1712.61,20340
2023-07-28,1706.58,1774.58,1702.59,1771.58,39018
2023-07-31,1782.58,1809.58,1748.58,1755.16,45379
2023-08-01,1752.59,1781.53,1752.47,1763.58,19231
2023-08-02,1757.98,1764.58,1741.38,1754.58,18509
2023-08-03,1744.58,1764.58,1725.08,1753.05,21543
2023-08-04,1762.4,1781.1,1756.58,1768.05,24574
2023-08-07,1755.53,1772.58,1745.61,1762.51,23892
2023-08-08,1754.61,1768.29,1738.66,1764.58,17736
2023-08-09,1764.58,1779.58,1757.54,1764.86,18523
2023-08-10,1756.58,1763.58,1736.88,1749.58,18436
2023-08-11,1759.58,1759.98,1708.46,1708.58,26786
2023-08-14,1684.58,1699.56,1670.58,1677.58,23731
2023-08-15,1683.58,1692.58,1675.59,1687.56,14818
