date,margin_balance,margin_buy
2025-02-24 00:00:00,23755998954.0,524859865.0
2025-02-25 00:00:00,23857279034.0,463338918.0
2025-02-26 00:00:00,23783866806.0,299804737.0
2025-02-27 00:00:00,23794711748.0,406808412.0
2025-02-28 00:00:00,23841211143.0,443774975.0
2025-03-03 00:00:00,23755860602.0,202877039.0
2025-03-04 00:00:00,23828103391.0,239234573.0
2025-03-05 00:00:00,23855050085.0,244197955.0
2025-03-06 00:00:00,23712875070.0,463512282.0
2025-03-07 00:00:00,23672145742.0,263145243.0
2025-03-10 00:00:00,23799571704.0,355237547.0
2025-03-11 00:00:00,23671261878.0,207349257.0
2025-03-12 00:00:00,23792243300.0,332168802.0
2025-03-13 00:00:00,23766736448.0,254661968.0
2025-03-14 00:00:00,23561874490.0,769405492.0
2025-03-17 00:00:00,23597922688.0,359671396.0
2025-03-18 00:00:00,23474076319.0,313472537.0
2025-03-19 00:00:00,23528981686.0,401219806.0
2025-03-20 00:00:00,24054220261.0,1154233168.0
2025-03-21 00:00:00,24155614092.0,583750719.0
2025-03-24 00:00:00,24156234896.0,317743384.0
2025-03-25 00:00:00,24137674823.0,240171877.0
2025-03-26 00:00:00,24169863298.0,299149890.0
2025-03-27 00:00:00,24118553158.0,262317551.0
2025-03-28 00:00:00,24112465208.0,260548915.0
2025-03-31 00:00:00,24195852065.0,396139544.0
2025-04-01 00:00:00,24248462450.0,317720385.0
2025-04-02 00:00:00,24112741990.0,128375277.0
2025-04-03 00:00:00,24079222476.0,275931913.0
2025-04-07 00:00:00,23929707174.0,805454969.0
2025-04-08 00:00:00,23668578820.0,237669363.0
2025-04-09 00:00:00,23662806239.0,279912188.0
2025-04-10 00:00:00,23610076593.0,284307718.0
2025-04-11 00:00:00,23597831690.0,237423768.0
2025-04-14 00:00:00,23597146694.0,207373175.0
2025-04-15 00:00:00,23542261808.0,173426084.0
2025-04-16 00:00:00,23449520355.0,165145311.0
2025-04-17 00:00:00,23395073165.0,130180982.0
2025-04-18 00:00:00,23268131846.0,110589090.0
2025-04-21 00:00:00,23298611070.0,175688121.0
2025-04-22 00:00:00,23400882619.0,282293170.0
2025-04-23 00:00:00,23416870410.0,187679247.0
2025-04-24 00:00:00,23341718018.0,181450556.0
2025-04-25 00:00:00,23271546876.0,117383124.0
2025-04-28 00:00:00,23188517480.0,200753411.0
2025-04-29 00:00:00,23172151005.0,152336375.0
2025-04-30 00:00:00,23104101010.0,160557373.0
2025-05-06 00:00:00,23125779176.0,213721415.0
2025-05-07 00:00:00,23075094965.0,185513380.0
2025-05-08 00:00:00,22914504364.0,248200444.0
2025-05-09 00:00:00,22897384800.0,170131210.0
2025-05-12 00:00:00,22725365268.0,165864646.0
2025-05-13 00:00:00,22540735474.0,147685999.0
2025-05-14 00:00:00,22114811882.0,589831621.0
2025-05-15 00:00:00,22007897613.0,281424663.0
2025-05-16 00:00:00,22144503847.0,359908900.0
2025-05-19 00:00:00,22276697178.0,242057706.0
2025-05-20 00:00:00,22308332022.0,240778674.0
2025-05-21 00:00:00,22156629124.0,138562334.0
2025-05-22 00:00:00,22093517046.0,165430605.0
2025-05-23 00:00:00,22130089391.0,336791823.0
2025-05-26 00:00:00,22103892483.0,200711960.0
2025-05-27 00:00:00,22125919540.0,201364632.0
2025-05-28 00:00:00,22131270204.0,125367197.0
2025-05-29 00:00:00,22078926896.0,113974758.0
2025-05-30 00:00:00,22134921369.0,254052392.0
2025-06-03 00:00:00,22043184400.0,202653909.0
2025-06-04 00:00:00,21848361221.0,176024897.0
2025-06-05 00:00:00,21796340179.0,190285421.0
2025-06-06 00:00:00,21963759983.0,319838192.0
2025-06-09 00:00:00,21925578115.0,154075177.0
2025-06-10 00:00:00,21837684205.0,269978733.0
2025-06-11 00:00:00,21586155763.0,188033701.0
2025-06-12 00:00:00,21627690954.0,484708377.0
2025-06-13 00:00:00,21491556917.0,193550336.0
2025-06-16 00:00:00,21635270461.0,269910177.0
2025-06-17 00:00:00,21950989059.0,529066150.0
2025-06-18 00:00:00,22108116707.0,389242528.0
2025-06-19 00:00:00,22188958698.0,262933320.0
2025-06-20 00:00:00,21764202083.0,232672880.0
2025-06-23 00:00:00,21608208463.0,267218460.0
2025-06-24 00:00:00,21313306309.0,466025450.0
2025-06-25 00:00:00,21279726259.0,508041303.0
2025-06-26 00:00:00,21352917135.0,287041690.0
2025-06-27 00:00:00,21570719525.0,494186560.0
2025-06-30 00:00:00,21482697724.0,215005766.0
2025-07-01 00:00:00,21376899007.0,140812124.0
2025-07-02 00:00:00,21490465204.0,329200485.0
2025-07-03 00:00:00,21502719353.0,130653952.0
2025-07-04 00:00:00,21397062476.0,287009649.0
2025-07-07 00:00:00,21530911321.0,282889253.0
2025-07-08 00:00:00,21547228402.0,168438661.0
2025-07-09 00:00:00,21611704495.0,239489160.0
2025-07-10 00:00:00,21469480670.0,326088304.0
2025-07-11 00:00:00,21371048345.0,404861735.0
2025-07-14 00:00:00,21392227706.0,211740162.0
2025-07-15 00:00:00,21533345888.0,385223320.0
2025-07-16 00:00:00,21582902527.0,259665098.0
2025-07-17 00:00:00,21543433235.0,120867112.0
2025-07-18 00:00:00,21462346042.0,229494005.0
2025-07-21 00:00:00,21572807405.0,311287346.0
2025-07-22 00:00:00,21750070412.0,474480971.0
2025-07-23 00:00:00,21575596168.0,404176062.0
2025-07-24 00:00:00,21684465063.0,490249010.0
2025-07-25 00:00:00,21897878053.0,623141258.0
2025-07-28 00:00:00,21841514266.0,582265024.0
2025-07-29 00:00:00,21929800486.0,347445997.0
2025-07-30 00:00:00,21830509091.0,611885878.0
2025-07-31 00:00:00,21945379501.0,684283636.0
2025-08-01 00:00:00,21846804677.0,258478079.0
2025-08-04 00:00:00,22030608308.0,330985332.0
2025-08-05 00:00:00,22066966040.0,379472660.0
2025-08-06 00:00:00,22066795441.0,173562046.0
2025-08-07 00:00:00,22032179326.0,223813904.0
2025-08-08 00:00:00,22136052047.0,270766569.0
2025-08-11 00:00:00,22171126238.0,259462569.0
2025-08-12 00:00:00,22170043201.0,250761709.0
2025-08-13 00:00:00,22416365134.0,658174770.0
2025-08-14 00:00:00,22043629503.0,542726561.0
2025-08-15 00:00:00,22090171459.0,517722196.0
2025-08-18 00:00:00,22315678996.0,702402085.0
2025-08-19 00:00:00,22707727083.0,862031204.0
2025-08-20 00:00:00,22617627894.0,398462418.0
2025-08-21 00:00:00,22462446591.0,370603916.0
2025-08-22 00:00:00,22479596736.0,625916972.0
2025-08-25 00:00:00,22534438245.0,545851542.0
2025-08-26 00:00:00,22644564826.0,379816346.0
2025-08-27 00:00:00,22996326539.0,912425416.0
2025-08-28 00:00:00,23031328290.0,368750758.0
2025-08-29 00:00:00,23056438155.0,662258382.0
2025-09-01 00:00:00,23563048995.0,882893081.0
2025-09-02 00:00:00,23475044723.0,361658847.0
2025-09-03 00:00:00,23674836339.0,580508421.0
2025-09-04 00:00:00,23696607411.0,360673634.0
2025-09-05 00:00:00,23799944486.0,371359557.0
2025-09-08 00:00:00,23988392148.0,455201296.0
2025-09-09 00:00:00,24085125998.0,367203991.0
2025-09-10 00:00:00,24088256300.0,156485677.0
2025-09-11 00:00:00,23885722448.0,256278066.0
2025-09-12 00:00:00,24227778636.0,705330702.0
2025-09-15 00:00:00,24285773558.0,357887053.0
2025-09-16 00:00:00,24537427899.0,541842608.0
2025-09-17 00:00:00,24637041518.0,380861798.0
2025-09-18 00:00:00,24898294581.0,778245514.0
